strategy,scenario,repetition,latency_p50,latency_p95,latency_p99,latency_mean,latency_max,rps_observed,error_rate,availability,samples_k6,replicas_service-a_max,replicas_service-a_mean,replicas_service-b_max,replicas_service-b_mean,replicas_total_max,replicas_total_mean,cpu_total_mean,cpu_total_max,predicted_rps_mean
predictive,high,1,3640.2,5942.55555,6308.759000000001,3916.133718097051,6704.711,136.56,0.1440148408513962,99.8559851591486,40968,10.0,9.024390243902438,2.0,1.024390243902439,12.0,10.048780487804878,0.04874072227838841,0.07249633431382509,86.37995826383153
predictive,high,2,3685.531,5969.3796,6269.95068,3948.7771604328045,6980.608,135.55,0.3049305299397516,99.69506947006025,40665,10.0,8.341463414634147,10.0,7.780487804878049,20.0,16.121951219512194,0.05460577814841134,0.08392586937286929,90.96657163018646
predictive,high,3,3611.408,5704.7256,5994.55563,3859.201568233255,6381.707,138.44666666666666,0.1685366205999904,99.8314633794,41534,10.0,8.097560975609756,10.0,8.731707317073171,20.0,16.829268292682926,0.053990378874289285,0.09054561504203441,95.94579817962206
predictive,high,4,3710.522,5964.395,6190.22914,3960.6414828507136,6659.981,134.79666666666665,0.42533198150300455,99.574668018497,40439,10.0,9.073170731707316,10.0,3.8780487804878048,20.0,12.951219512195122,0.05062441635617069,0.0773232376676814,83.94170272393075
predictive,high,5,3705.879,5999.0044,6374.00348,3965.029538276861,6810.493,134.67666666666668,0.034650892260475706,99.96534910773953,40403,10.0,7.902439024390244,10.0,8.658536585365853,20.0,16.5609756097561,0.05556663041066426,0.08694262233911079,89.04917221804561
predictive,low,1,105.189,150.51,154.53712000000002,105.48888384343536,350.619,49.99,0.0,100.0,14997,10.0,6.439024390243903,10.0,7.170731707317073,20.0,13.609756097560975,0.03995569671452909,0.0471841597040624,45.372489568921615
predictive,low,2,107.809,155.50599999999997,1238.463499999992,139.73513752629077,3523.195,49.13,0.013569441617477442,99.98643055838252,14739,1.0,1.0,7.0,5.536585365853658,8.0,6.536585365853658,0.037711589710626804,0.0779190585043793,46.314605372653546
predictive,low,3,388.74850000000004,3049.49925,6952.080300000004,973.2672671176713,31275.154,32.52,0.6662566625666256,99.33374333743338,9756,1.0,1.0,9.0,6.926829268292683,10.0,7.926829268292683,0.08058389130820327,0.1671128252955279,35.854553048616715
predictive,low,4,106.658,152.0958,414.08905999999,114.44837987295219,1602.065,49.85,0.013373453694416582,99.98662654630559,14955,1.0,1.0,8.0,6.219512195121951,9.0,7.219512195121951,0.04114688461477331,0.0833429578890201,45.412507241171326
predictive,low,5,134.3165,1994.4464499999997,4392.446430000013,507.53791617647056,17494.051,40.8,0.6944444444444444,99.30555555555556,12240,1.0,1.0,7.0,5.585365853658536,8.0,6.585365853658536,0.061995038494113384,0.1727980154439343,41.61751690258862
predictive,medium,1,3486.0879999999997,11548.071949999983,51933.02165999999,5424.621355772711,58366.08,36.84,0.14477017734346725,99.85522982265654,11052,1.0,1.0,9.0,8.375,10.0,9.146341463414634,0.11693566270630307,0.20395923088369428,33.89341785172245
predictive,medium,2,1816.016,3862.039,11941.4048,2235.4168088195333,21512.796,85.87,0.40759287294747876,99.59240712705252,25761,2.0,1.2682926829268293,10.0,8.926829268292684,12.0,10.195121951219512,0.06459188207417078,0.19678468749031472,60.81361173994116
predictive,medium,3,1270.766,1566.4571,1857.1502399999993,1288.2509366353265,3378.724,142.87666666666667,0.5272612742925133,99.47273872570749,42863,10.0,4.463414634146342,10.0,6.585365853658536,15.0,11.048780487804878,0.0516949361564336,0.0810957820737208,92.64522669114946
predictive,medium,4,1270.706,1558.2292,1777.20512,1283.5399632778203,2483.007,143.51,0.10219961442872738,99.89780038557127,43053,10.0,9.121951219512194,2.0,1.048780487804878,12.0,10.170731707317072,0.051328050919654374,0.07765733742657449,89.51089530938557
predictive,medium,5,1233.8755,1544.0738999999999,1813.1545899999953,1261.898047965985,2313.925,145.03333333333333,0.1723741668581935,99.82762583314181,43510,10.0,9.073170731707316,1.0,1.0,11.0,10.073170731707316,0.049676844554717874,0.0728641273474936,90.32410358906267
reactive,high,1,4397.706,17251.2836,38753.50944,7209.210764373068,59688.233,76.59,0.4613308961135048,99.53866910388649,22977,10.0,7.170731707317073,9.0,5.902439024390244,15.0,13.073170731707316,0.061095994232193127,0.1283459879817304,59.60623136055982
reactive,high,2,7640.98,34768.461650000005,43990.579979999995,11500.009827195667,51659.239,47.973333333333336,0.6878821567537521,99.31211784324624,14392,1.0,1.0,8.0,5.804878048780488,9.0,6.642857142857143,0.08399994881800568,0.2147048906368169,42.13236737512924
